MMEID,Ex_Name,Series_Name,gwcode,country,year,Location,lat,lon,StartDate,s.year,s.month,s.day,EndDate,e.year,e.month,e.day,CPX,Air,Land,Sea,Amphibious,Cyber,Warfighting,Peacekeeping,Humanitarian,FocusDescription,AdditionalParticipantInfo,participant_count
mme1024,Starfish,Starfish,920,New Zealand,1992,"South China Sea, tionman island of singapore",2.7902494,104.1698463,9/7/92,1992,9,7,9/19/92,1992,9,19,0,1,0,1,0,0,1,0,0,to have lent substance to the fpda's objectives of promoting regional stability,NA,5
mme1024,Starfish,Starfish,830,Singapore,1992,"South China Sea, tionman island of singapore",2.7902494,104.1698463,9/7/92,1992,9,7,9/19/92,1992,9,19,0,1,0,1,0,0,1,0,0,to have lent substance to the fpda's objectives of promoting regional stability,NA,5
mme1024,Starfish,Starfish,200,United Kingdom,1992,"South China Sea, tionman island of singapore",2.7902494,104.1698463,9/7/92,1992,9,7,9/19/92,1992,9,19,0,1,0,1,0,0,1,0,0,to have lent substance to the fpda's objectives of promoting regional stability,NA,5
mme1025,Aces North,NA,900,Australia,1992,"Australia, RAAR's northern bases at Darwin and Tindal",-12.4252744,130.864104,10/19/92,1992,10,19,11/13/92,1992,11,13,0,1,0,0,0,0,1,0,0,provide realistic training for trainees as part of the raaf's most intensive post graduate flying course.,NA,2
mme1025,Aces North,NA,2,United States,1992,"Australia, RAAR's northern bases at Darwin and Tindal",-12.4252744,130.864104,10/19/92,1992,10,19,11/13/92,1992,11,13,0,1,0,0,0,0,1,0,0,provide realistic training for trainees as part of the raaf's most intensive post graduate flying course.,NA,2
mme1026,Balikatan 92,Balikatan,840,Philippines,1992,"Philippines, villamor air base in pasay city, metro manila",14.5163881,121.0192472,10/19/92,1992,10,19,11/5/92,1992,11,5,0,1,1,0,0,0,1,0,0,the war game will be a symbolic exercise to show continued military cooperation between the two countries despite the total withdrawal of u.s. forces from the philippines,NA,2
mme1026,Balikatan 92,Balikatan,2,United States,1992,"Philippines, villamor air base in pasay city, metro manila",14.5163881,121.0192472,10/19/92,1992,10,19,11/5/92,1992,11,5,0,1,1,0,0,0,1,0,0,the war game will be a symbolic exercise to show continued military cooperation between the two countries despite the total withdrawal of u.s. forces from the philippines,NA,2
mme1027,Suman Warrior 3/92,Suman Warrior,900,Australia,1992,"Burnham Camp in Christchurch, New Zealand",-43.6152861,172.3146207,10/19/92,1992,10,19,10/28/92,1992,10,28,0,1,0,0,0,0,1,0,0,practice in combined arms operations and seminars on air operations and map planning exercises.,NA,5
mme1027,Suman Warrior 3/92,Suman Warrior,820,Malaysia,1992,"Burnham Camp in Christchurch, New Zealand",-43.6152861,172.3146207,10/19/92,1992,10,19,10/28/92,1992,10,28,0,1,0,0,0,0,1,0,0,practice in combined arms operations and seminars on air operations and map planning exercises.,NA,5
mme1027,Suman Warrior 3/92,Suman Warrior,920,New Zealand,1992,"Burnham Camp in Christchurch, New Zealand",-43.6152861,172.3146207,10/19/92,1992,10,19,10/28/92,1992,10,28,0,1,0,0,0,0,1,0,0,practice in combined arms operations and seminars on air operations and map planning exercises.,NA,5
mme1027,Suman Warrior 3/92,Suman Warrior,830,Singapore,1992,"Burnham Camp in Christchurch, New Zealand",-43.6152861,172.3146207,10/19/92,1992,10,19,10/28/92,1992,10,28,0,1,0,0,0,0,1,0,0,practice in combined arms operations and seminars on air operations and map planning exercises.,NA,5
mme1027,Suman Warrior 3/92,Suman Warrior,200,United Kingdom,1992,"Burnham Camp in Christchurch, New Zealand",-43.6152861,172.3146207,10/19/92,1992,10,19,10/28/92,1992,10,28,0,1,0,0,0,0,1,0,0,practice in combined arms operations and seminars on air operations and map planning exercises.,NA,5
mme1028,Western Reward 92,NA,900,Australia,1992,Western Australia,-27.6728168,121.6283098,10/6/92,1992,10,6,10/17/92,1992,10,17,0,1,0,0,0,0,1,0,0,"the exercise will encompass land strike operations, on-flight refueling and integrated air defense operations",NA,2
mme1028,Western Reward 92,NA,830,Singapore,1992,Western Australia,-27.6728168,121.6283098,10/6/92,1992,10,6,10/17/92,1992,10,17,0,1,0,0,0,0,1,0,0,"the exercise will encompass land strike operations, on-flight refueling and integrated air defense operations",NA,2
mme1029,-9,NA,690,Kuwait,1992,Kuwait City,29.375859,47.9774052,11/10/92,1992,11,10,1992-12-xx,1992,12,xx,0,1,1,0,0,0,1,0,0,air forces are scheduled to take part,NA,2
mme1029,-9,NA,2,United States,1992,Kuwait City,29.375859,47.9774052,11/10/92,1992,11,10,1992-12-xx,1992,12,xx,0,1,1,0,0,0,1,0,0,air forces are scheduled to take part,NA,2
mme103,Elang Indopura 1,Elang Indopura,850,Indonesia,1980,East Java,-7.5360639,112.2384017,6/19/80,1980,6,19,6/26/80,1980,6,26,0,1,0,0,0,0,1,0,0,to test the mobility and alertness of the two airforces in the face of any eventuality,NA,2
mme103,Elang Indopura 1,Elang Indopura,830,Singapore,1980,East Java,-7.5360639,112.2384017,6/19/80,1980,6,19,6/26/80,1980,6,26,0,1,0,0,0,0,1,0,0,to test the mobility and alertness of the two airforces in the face of any eventuality,NA,2
mme1030,Foal Eagle 92,FE,732,South Korea,1992,"South Korea, South of Seoul",37.566535,126.9779692,11/3/92,1992,11,3,11/7/92,1992,11,7,0,0,0,0,0,0,1,0,0,"major joint military exercise, named 'foal eagle 92,",NA,2
mme1030,Foal Eagle 92,FE,2,United States,1992,"South Korea, South of Seoul",37.566535,126.9779692,11/3/92,1992,11,3,11/7/92,1992,11,7,0,0,0,0,0,0,1,0,0,"major joint military exercise, named 'foal eagle 92,",NA,2
mme1031,Keen Edge 93,Keen Edge,740,Japan,1992,"Japan, Hokkaido",43.2203266,142.8634737,11/7/92,1992,11,7,11/16/92,1992,11,16,0,1,1,1,0,0,1,0,0,designed to improve the combat readiness of japanese and u.s. troops,NA,2
mme1031,Keen Edge 93,Keen Edge,2,United States,1992,"Japan, Hokkaido",43.2203266,142.8634737,11/7/92,1992,11,7,11/16/92,1992,11,16,0,1,1,1,0,0,1,0,0,designed to improve the combat readiness of japanese and u.s. troops,NA,2
mme1032,Lungfish 92,Lungfish,900,Australia,1992,off the australian east coast,-28.45412,154.592229,12/7/92,1992,12,7,12/14/92,1992,12,14,0,0,0,1,0,0,1,0,0,submarine and anti-submarine warfare training,NA,2
mme1032,Lungfish 92,Lungfish,2,United States,1992,off the australian east coast,-28.45412,154.592229,12/7/92,1992,12,7,12/14/92,1992,12,14,0,0,0,1,0,0,1,0,0,submarine and anti-submarine warfare training,NA,2
mme1033,-9,NA,160,Argentina,1993,south america,-8.783195,-55.491477,1993-01-xx,1993,1,xx,1993-01-xx,1993,1,xx,0,1,0,0,0,0,1,0,0,navy's role in joint exercises,NA,3
mme1033,-9,NA,560,South Africa,1993,south america,-8.783195,-55.491477,1993-01-xx,1993,1,xx,1993-01-xx,1993,1,xx,0,1,0,0,0,0,1,0,0,navy's role in joint exercises,NA,3
mme1033,-9,NA,165,Uruguay,1993,south america,-8.783195,-55.491477,1993-01-xx,1993,1,xx,1993-01-xx,1993,1,xx,0,1,0,0,0,0,1,0,0,navy's role in joint exercises,NA,3
mme1034,Iris Gold 93,Iris Gold,690,Kuwait,1993,kuwait's northern region,29.31166,47.481766,1/17/93,1993,1,17,1/21/93,1993,1,21,0,0,1,0,0,0,1,0,0,"involved day-and-night combat, diverse field skills, firing live ammunition using light and medium-sized weapons, dealing with prisoners of war and field clearing operations",NA,2
mme1034,Iris Gold 93,Iris Gold,2,United States,1993,kuwait's northern region,29.31166,47.481766,1/17/93,1993,1,17,1/21/93,1993,1,21,0,0,1,0,0,0,1,0,0,"involved day-and-night combat, diverse field skills, firing live ammunition using light and medium-sized weapons, dealing with prisoners of war and field clearing operations",NA,2
