countryname,ccode,iso3c,basename,lat,lon,base,lilypad,fundedsite
"Korea, South",732,KOR,"Camp Humphreys (Richmond), Taejon",36.350412,127.38455,1,0,0
"Korea, South",732,KOR,Taepeak	South Korea,37.164065,128.98557,0,1,0
"Korea, South",732,KOR,"Camp Casey, Camp Castle, Tong Du Chon",37.7333,127.05,1,0,0
"Korea, South",732,KOR,"Camp Jackson, Camp Red Cloud, Camp Stanley, Redcloud Communications Center, Uijong Bu",37.738098,127.03368,1,0,0
"Korea, South",732,KOR,"Camp Carroll, Waegwan",35.989043,128.39771,1,0,0
"Korea, South",732,KOR,"Camp Eagle, Camp Long, Wonju",37.342219,127.92016,1,0,0
"Korea, South",732,KOR,"Camp Carroll, Yechon",36.6577,128.45288,1,0,0
"Korea, South",732,KOR,"Camp Red Cloud (Bullseye 01), Yongchon	South Korea",37.538427,126.96544,1,0,0
"Korea, South",732,KOR,"Camp Kwangsa Ri , Yongju",37.785288,127.04584,1,0,0
"Korea, South",732,KOR,Yongpyong,NA,NA,1,0,0
"Korea, South",732,KOR,"Camp Henry (Brooklyn Hill), Yongsan Garrison, Yongsan",37.538427,126.96544,1,0,0
Kosovo,347,KSV,Camp Bondsteel,42.366667,21.25,1,0,0
Kuwait,690,KWT,Ali Al Salem AB,29.31166,47.481766,1,0,0
Kuwait,690,KWT,Camp Buehring,29.696292,47.42476,1,0,0
Kuwait,690,KWT,Ahmed Al Jaber AB,28.934917,47.791972,1,0,0
Kuwait,690,KWT,Al Mubarak AB @ Kuwait City IAP,29.226667,47.98,1,0,0
Kuwait,690,KWT,Camp Patriot/Kuwait Naval Base,28.8750135,48.2843467,1,0,0
Kuwait,690,KWT,"Camp Arifjan, Al Ahmadi",29.696292,47.42476,1,0,0
Kuwait,690,KWT,Khabari/Kheybari Military Crossing,30.100432,47.714498,1,0,0
Kuwait,690,KWT,Shuaiba Naval Base,28.866761,48.280324,1,0,0
Kuwait,690,KWT,Udairi Training Range,29.696292,47.42,1,0,0
Liberia,450,LBR,Monrovia and surrounding,6.292412,-10.756391,0,1,0
Libya,620,LBY,Al Wigh Airport,24.183868,14.543879,0,1,0
Marshall Islands,983,MHL,"US Army Kwajalein Atoll, R.Reagan Test Site",8.72037,167.7334,1,0,0
Marshall Islands,983,MHL,Meck Island,9.002452,167.726375,1,0,0
Marshall Islands,983,MHL,Omeleck Island,9.047702,167.742876,1,0,0
Marshall Islands,983,MHL,Roi-Namur Island,9.39775,167.472683,1,0,0
Marshall Islands,983,MHL,Illeginni Island,9.086984,167.470858,1,0,0
Marshall Islands,983,MHL,Ennylabegan Island,8.797108,167.620299,1,0,0
Mauritania,435,MRT,Nuakchott (Air Force),18.100869,-15.95152,0,1,0
Netherlands,210,NLD,Brunssum,50.948896,5.972166,1,0,0
Netherlands,210,NLD,Schinnen,50.942118,5.861849,1,0,0
Netherlands,210,NLD,Coevorden,52.643502,6.727593,0,1,0
Netherlands,210,NLD,Eygelshoven,50.90139,6.073035,0,1,0
Netherlands,210,NLD,Rotterdam,51.924216,4.481776,0,1,0
Netherlands,210,NLD,Vriezenveen,52.371812,6.608841,0,1,0
Netherlands Antilles,210,NLD,Curacao Forward Operating Base,12.186701,-68.96659,0,1,0
Niger,436,NER,Niamey airport,13.481667,2.170278,0,1,0
NIger,436,NER,Agadez,16.941423,8.003951,0,1,0
Northern Mariana Islands,2,USA,Tinian Navy Base,15,145.633333,1,0,0
Northern Mariana Islands,2,USA,Saipan,15.183333,145.75,1,0,0
Northern Mariana Islands,2,USA,Rota,14.153611,145.203056,0,1,0
Northern Mariana Islands,2,USA,Farallon de Medinilla,16.017222,146.058611,1,0,0
Norway,385,NOR,Vaernes,63.463249,10.937779,1,0,0
Norway,385,NOR,Bardufoss,69.064444,18.515,0,1,0
